date,oil_productivity,gas_productivity,operator_name
2012-08-01,2274.5,2917.6666666666665,PETRO-HUNT DAKOTA LLC
2012-07-01,1923.8333333333333,2288.3333333333335,PETRO-HUNT DAKOTA LLC
2012-06-01,2620.0,2733.0,PETRO-HUNT DAKOTA LLC
2012-05-01,2897.5,2840.8333333333335,PETRO-HUNT DAKOTA LLC
2012-04-01,2112.3333333333335,2015.5,PETRO-HUNT DAKOTA LLC
2012-03-01,2635.2,3431.8,PETRO-HUNT DAKOTA LLC
2012-02-01,1349.0,1521.25,PETRO-HUNT DAKOTA LLC
2012-01-01,1909.6666666666667,2712.6666666666665,PETRO-HUNT DAKOTA LLC
2011-12-01,2055.0,3424.6666666666665,PETRO-HUNT DAKOTA LLC
2011-11-01,2252.3333333333335,4197.333333333333,PETRO-HUNT DAKOTA LLC
2011-10-01,2429.0,2882.3333333333335,PETRO-HUNT DAKOTA LLC
2011-09-01,2653.6666666666665,3816.3333333333335,PETRO-HUNT DAKOTA LLC
2011-08-01,3421.3333333333335,4001.6666666666665,PETRO-HUNT DAKOTA LLC
2015-12-01,3283.0689655172414,2843.706896551724,PETRO-HUNT DAKOTA LLC
2015-09-01,2625.2,2225.1833333333334,PETRO-HUNT DAKOTA LLC
2015-08-01,3862.3278688524592,3446.0491803278687,PETRO-HUNT DAKOTA LLC
2015-07-01,3734.5245901639346,3362.44262295082,PETRO-HUNT DAKOTA LLC
2015-06-01,3564.6140350877195,3118.8947368421054,PETRO-HUNT DAKOTA LLC
2015-05-01,3030.3518518518517,2782.5925925925926,PETRO-HUNT DAKOTA LLC
2015-04-01,2965.0392156862745,2310.725490196078,PETRO-HUNT DAKOTA LLC
2015-03-01,3141.923076923077,2644.326923076923,PETRO-HUNT DAKOTA LLC
2015-02-01,2681.3617021276596,1988.4255319148936,PETRO-HUNT DAKOTA LLC
2015-01-01,3084.2978723404253,2687.063829787234,PETRO-HUNT DAKOTA LLC
2011-01-01,3919.0,2931.5,PETRO-HUNT DAKOTA LLC
2010-12-01,3680.0,1138.0,PETRO-HUNT DAKOTA LLC
2010-11-01,438.0,150.0,PETRO-HUNT DAKOTA LLC
2010-10-01,4202.0,201.0,PETRO-HUNT DAKOTA LLC
2010-09-01,468.0,113.0,PETRO-HUNT DAKOTA LLC
2017-01-01,1643.0701754385964,1626.421052631579,PETRO-HUNT DAKOTA LLC
2016-12-01,1933.2857142857142,1878.4285714285713,PETRO-HUNT DAKOTA LLC
2016-11-01,1945.357142857143,2109.4464285714284,PETRO-HUNT DAKOTA LLC
2016-10-01,2006.9122807017543,2002.3859649122808,PETRO-HUNT DAKOTA LLC
2016-09-01,1912.3392857142858,1930.5535714285713,PETRO-HUNT DAKOTA LLC
