api,EUR oil,operator_name,well_name
33053056090000,364849,WPX ENERGY WILLISTON LLC,KALE BAD BRAVE  19-18HW
33053056110000,388991,WPX ENERGY WILLISTON LLC,KALE BAD BRAVE  19-18HX2
33053056610000,858888,ENERPLUS RESOURCES USA CORPORATION,SOFTSHELL  152-94-33C-28H TF
33053056620000,1166446,ENERPLUS RESOURCES USA CORPORATION,SNAPPER  152-94-33C-28H
33053056630000,679413,ENERPLUS RESOURCES USA CORPORATION,SWALLOW TAIL   152-94-32D-29H
33053056640000,640037,ENERPLUS RESOURCES USA CORPORATION,VICEROY   152-94-32D-29H TF
33053056650000,933391,ENERPLUS RESOURCES USA CORPORATION,MONARCH   152-94-32D-29H
33053056750000,254394,PETRO-HUNT DAKOTA LLC,BILLY RAY VALENTINE  3-8-5H
33053057020000,419491,WPX ENERGY WILLISTON LLC,RUBY  31-30HX
33053057700000,13757,PETRO-HUNT DAKOTA LLC,CAMERON FRYE  2-36-25H
33053057740000,168979,PETRO-HUNT DAKOTA LLC,BILLY RAY VALENTINE  2-8-5H
33053057750000,257304,PETRO-HUNT DAKOTA LLC,BILLY RAY VALENTINE  1-8-5H
33053058050000,581039,WPX ENERGY WILLISTON LLC,LUCY EVANS  29-32HA
33053058060000,252444,WPX ENERGY WILLISTON LLC,LUCY EVANS  29-32HW
33053058070000,1106109,WPX ENERGY WILLISTON LLC,LUCY EVANS  29-32HB
33053058080000,474547,WPX ENERGY WILLISTON LLC,LUCY EVANS  29-32HX
33053058290000,264250,PETRO-HUNT DAKOTA LLC,D ANNUNZIO  5-7-6H
33053058300000,171353,PETRO-HUNT DAKOTA LLC,D ANNUNZIO  4-7-6H
33053058310000,248426,PETRO-HUNT DAKOTA LLC,D ANNUNZIO  3-7-6H
33053058760000,336214,PETRO-HUNT DAKOTA LLC,EXCALIBUR  7-25-36H
33053058770000,323855,PETRO-HUNT DAKOTA LLC,EXCALIBUR  6-25-36H
33053059140000,242653,ABRAXAS PETROLEUM CORP,STENEHJEM  27-34-2H
33053059150000,194842,ABRAXAS PETROLEUM CORP,STENEHJEM  27-34-3H
33053059160000,336957,ABRAXAS PETROLEUM CORP,STENEHJEM  27-34-4H
33053060370000,253707,PETRO-HUNT DAKOTA LLC,JOEL GOODSEN  7-32-29H
33053060380000,311692,PETRO-HUNT DAKOTA LLC,JOEL GOODSEN  6-32-29H
33053060390000,199020,PETRO-HUNT DAKOTA LLC,DUDLEY DAWSON  7-2-11H
33053060400000,353857,PETRO-HUNT DAKOTA LLC,JOEL GOODSEN  5-32-29H
33053060410000,156239,PETRO-HUNT DAKOTA LLC,DUDLEY DAWSON  6-2-11H
33053060520000,272945,SLAWSON EXPLORATION COMPANY INC,JORE {FEDERAL}  2-12H
33053060780000,323754,ABRAXAS PETROLEUM CORP,JORE FEDERAL  2-11-8H
33053060790000,288404,ABRAXAS PETROLEUM CORP,JORE FEDERAL  2-11-7H
33053060800000,299491,ABRAXAS PETROLEUM CORP,JORE FEDERAL  2-11-6H
33053060810000,376098,ABRAXAS PETROLEUM CORP,JORE FEDERAL  2-11-5H
33053061020000,203544,PETRO-HUNT DAKOTA LLC,ERIC STRATTON FEDERAL  5-36-25H
33053062170000,219863,MARATHON OIL COMPANY,LUN USA  11-14H
33053062180000,405299,MARATHON OIL COMPANY,ERNESTINE USA  11-14TFH-2B
33053062190000,391236,MARATHON OIL COMPANY,TONY LUN USA  12-14TFH
33053062200000,664739,MARATHON OIL COMPANY,DOLL USA  12-14H
33053062880000,599559,WPX ENERGY WILLISTON LLC,EMMA OWNER  23-14HB
33053062890000,626941,WPX ENERGY WILLISTON LLC,EMMA OWNER  23-14HX
33053062900000,776766,WPX ENERGY WILLISTON LLC,EMMA OWNER  23-14HC
33053062910000,707993,WPX ENERGY WILLISTON LLC,EMMA OWNER  23-14HD
33053062920000,512637,WPX ENERGY WILLISTON LLC,EMMA OWNER  23-14HW
33053063220000,859321,ENERPLUS RESOURCES USA CORPORATION,MUSKRAT  150-94-04B-09H
33053063230000,512910,ENERPLUS RESOURCES USA CORPORATION,BADGER  150-94-04B-09H TF
33053063240000,801971,ENERPLUS RESOURCES USA CORPORATION,RACCOON  150-94-04B-09H
33053063250000,648800,ENERPLUS RESOURCES USA CORPORATION,MINK  150-94-04B-09H TF
33053064000000,263652,ABRAXAS PETROLEUM CORP,STEN-RAV  1H
33053064010000,325023,ABRAXAS PETROLEUM CORP,RAVIN  8H
33053064260000,534254,WPX ENERGY WILLISTON LLC,ETSTATIS  32-29HS
33053064270000,397730,WPX ENERGY WILLISTON LLC,ETSTATIS  32-29HB
33053064290000,377701,WPX ENERGY WILLISTON LLC,ETSTATIS  32-29HA
33053064300000,510726,WPX ENERGY WILLISTON LLC,ETSTATIS  32-29HW
33053064360000,289363,PETRO-HUNT DAKOTA LLC,DAGNY TAGGART  3-21-16H
33053064380000,415625,PETRO-HUNT DAKOTA LLC,GREG MARMALARD FEDERAL  3-28-33H
33053064700000,323191,ABRAXAS PETROLEUM CORP,STENEHJEM  5H
33053064750000,652197,ENERPLUS RESOURCES USA CORPORATION,ARCTIC  150-94-36BH
33053065180000,0,MARATHON OIL COMPANY,BLUE CREEK USA  24-22TFH-2B
33053065200000,288591,MARATHON OIL COMPANY,VERONICA USA  14-22TFH
33053065210000,286547,MARATHON OIL COMPANY,ROUGH COULEE USA  24-22TFH
